Logo,Company,Industry
http://www.thecambridgegroup.com/snappydresser/wp-content/uploads/2016/08/logo2_transparent1.png,"The Cambridge Group, Inc.",Consulting
https://upload.wikimedia.org/wikipedia/en/2/20/CapitalGroup_Company_Logo.png,The Capital Group Companies Inc,Financial Services - Investment Management/Research
https://upload.wikimedia.org/wikipedia/commons/5/55/KraftHeinz.svg,The Kraft Heinz Company,Food/Beverage/Tobacco
https://mma.prnewswire.com/media/507123/Safe_Fair_Food_Company.jpg?p=publish,The Safe + Fair food Company,Food/Beverage/Tobacco
https://upload.wikimedia.org/wikipedia/en/b/b2/The_Vanguard_Group_Logo.svg,"The Vanguard Group, Inc.",Financial Services - Investment Management/Research
http://wp.streetwise.co/wp-content/blogs.dir/3/files/2014/08/Screen-Shot-2014-08-11-at-10.13.39-AM-630x318.png,The Vistria Group,Financial Services - Private Equity
http://www.tscp.com/assets/images/logo-thompson-lg.png,Thompson Street Capital Partners,Financial Services - Private Equity
https://upload.wikimedia.org/wikipedia/commons/9/9d/Toyota_carlogo.svg,Toyota Financial Services,Financial Services - Diversified Financial Services
https://upload.wikimedia.org/wikipedia/en/2/22/TripAdvisor_logo.svg,TripAdvisor,Technology  software
https://upload.wikimedia.org/wikipedia/commons/2/2a/Tyson_foods_logo17.png,Tyson Foods Inc.,Food/Beverage/Tobacco
https://upload.wikimedia.org/wikipedia/commons/5/54/Seal_of_the_United_States_Department_of_Justice.svg,U.S. Department of Justice,Government - Federal
https://upload.wikimedia.org/wikipedia/en/e/e0/United_Airlines_Logo.svg,"United Airlines, Inc.",Aerospace/Aviation
https://upload.wikimedia.org/wikipedia/commons/9/9a/Vmware.svg,"Vmware, Inc.",Technology - Software
